p_loss_%,algorithm,run_idx,tcr,rounds,cfr,time_ms
50,cbba,26,1.0,23,1.0,356.696
50,cbba,27,0.7,15,0.0,219.047
50,cbba,28,0.8,19,0.0,307.653
50,cbba,29,0.8,23,0.0,329.98
50,cbba,30,0.75,16,0.0,242.004
50,cbba,31,0.7,12,0.0,171.96
50,cbba,32,1.0,20,1.0,309.47
50,cbba,33,0.9,20,0.0,294.261
50,cbba,34,1.0,17,1.0,250.471
50,cbba,35,0.65,12,0.0,168.488
50,cbba,36,0.55,14,0.0,207.134
50,cbba,37,1.0,21,1.0,313.24
50,cbba,38,0.7,20,0.0,304.342
50,cbba,39,0.6,14,0.0,209.998
50,cbba,40,0.85,20,0.0,289.048
50,cbba,41,0.8,16,0.0,236.114
50,cbba,42,0.9,20,0.0,306.53
50,cbba,43,0.7,13,0.0,193.273
50,cbba,44,1.0,20,1.0,314.061
50,cbba,45,0.75,19,0.0,286.707
50,cbba,46,0.9,19,0.0,288.603
50,cbba,47,0.8,16,0.0,232.644
50,cbba,48,0.8,16,0.0,233.987
50,cbba,49,0.9,17,0.0,269.921
50,acbba,0,0.85,7,0.0,114.355
50,acbba,1,0.8,14,0.0,217.406
50,acbba,2,1.0,9,1.0,161.065
50,acbba,3,1.0,10,1.0,165.723
50,acbba,4,0.95,9,0.0,153.729
50,acbba,5,1.0,11,1.0,189.169
50,acbba,6,1.0,22,1.0,340.232
50,acbba,7,0.9,15,0.0,240.5
50,acbba,8,1.0,11,1.0,183.861
50,acbba,9,0.9,14,0.0,220.121
50,acbba,10,1.0,17,1.0,266.843
50,acbba,11,1.0,18,1.0,297.076
50,acbba,12,0.8,11,0.0,182.704
50,acbba,13,0.9,14,0.0,232.997
50,acbba,14,1.0,12,1.0,211.821
50,acbba,15,1.0,14,1.0,225.565
50,acbba,16,1.0,16,1.0,255.26
50,acbba,17,1.0,19,1.0,307.715
50,acbba,18,0.8,12,0.0,188.848
50,acbba,19,0.6,9,0.0,147.977
50,acbba,20,0.8,7,0.0,130.49
50,acbba,21,1.0,15,1.0,258.061
50,acbba,22,0.9,16,0.0,245.358
50,acbba,23,0.75,9,0.0,145.074
50,acbba,24,1.0,13,1.0,221.84
50,acbba,25,0.8,11,0.0,180.855
50,acbba,26,1.0,23,1.0,353.665
50,acbba,27,1.0,18,1.0,283.192
50,acbba,28,0.8,13,0.0,224.556
50,acbba,29,0.9,15,0.0,244.306
50,acbba,30,1.0,15,1.0,245.9
50,acbba,31,0.9,12,0.0,196.222
50,acbba,32,1.0,11,1.0,193.296
50,acbba,33,1.0,17,1.0,274.359
50,acbba,34,1.0,14,1.0,215.51
50,acbba,35,0.85,14,0.0,234.224
50,acbba,36,1.0,18,1.0,302.429
50,acbba,37,1.0,11,1.0,186.359
50,acbba,38,0.9,10,0.0,177.156
50,acbba,39,0.9,16,0.0,246.193
50,acbba,40,0.85,11,0.0,175.467
50,acbba,41,0.95,15,0.0,238.378
50,acbba,42,1.0,12,1.0,204.429
50,acbba,43,0.75,8,0.0,130.523
50,acbba,44,1.0,11,1.0,199.232
50,acbba,45,1.0,16,1.0,262.816
50,acbba,46,1.0,11,1.0,185.763
50,acbba,47,0.8,10,0.0,163.531
50,acbba,48,1.0,13,1.0,209.233
50,acbba,49,0.9,12,0.0,210.859
